msa,year_2023,year_2020,raw_diff,percent_diff,msa_short
"New York–Newark–Jersey City, NY-NJ",19498249,20081935,-583686,-2.9,New York City
"Los Angeles–Long Beach–Anaheim, CA",12799100,13200998,-401898,-3,Los Angeles
"Chicago–Naperville–Elgin, IL-IN",9262825,9449351,-186526,-2,Chicago
"Dallas–Fort Worth–Arlington, TX",8100037,7637387,462650,6.1,Dallas
"Houston–Pasadena–The Woodlands, TX",7510253,7149642,360611,5,Houston
"Atlanta–Sandy Springs–Roswell, GA",6307261,6104803,202458,3.3,Atlanta
"Washington–Arlington–Alexandria, DC-VA-MD-WV",6304975,6278542,26433,0.4,Washington D.C.
"Philadelphia–Camden–Wilmington, PA-NJ-DE-MD",6246160,6245051,1109,0,Philadelphia
"Miami–Fort Lauderdale–West Palm Beach, FL",6183199,6138333,44866,0.7,Miami
"Phoenix–Mesa–Chandler, AZ",5070110,4845832,224278,4.6,Phoenix
"Boston–Cambridge–Newton, MA-NH",4919179,4941632,-22453,-0.5,Boston
"Riverside–San Bernardino–Ontario, CA",4688053,4599839,88214,1.9,Riverside
"San Francisco–Oakland–Fremont, CA",4566961,4749008,-182047,-3.8,San Francisco
"Detroit–Warren–Dearborn, MI",4342304,4392041,-49737,-1.1,Detroit
"Seattle–Tacoma–Bellevue, WA",4044837,4018762,26075,0.6,Seattle
"Minneapolis–St. Paul–Bloomington, MN-WI",3712020,3690261,21759,0.6,Minneapolis
"Tampa–St. Petersburg–Clearwater, FL",3342963,3175275,167688,5.3,Tampa
"San Diego–Chula Vista–Carlsbad, CA",3269973,3298634,-28661,-0.9,San Diego
"Denver–Aurora–Centennial, CO",3005131,2963821,41310,1.4,Denver
"Baltimore–Columbia–Towson, MD",2834316,2844510,-10194,-0.4,Baltimore
"Orlando–Kissimmee–Sanford, FL",2817933,2673376,144557,5.4,Orlando
"Charlotte–Concord–Gastonia, NC-SC",2805115,2660329,144786,5.4,Charlotte
"St. Louis, MO-IL",2796999,2820253,-23254,-0.8,St. Louis
"San Antonio–New Braunfels, TX",2703999,2558143,145856,5.7,San Antonio
"Portland–Vancouver–Hillsboro, OR-WA",2508050,2512859,-4809,-0.2,Portland
"Austin–Round Rock–San Marcos, TX",2473275,2283371,189904,8.3,Austin
"Pittsburgh, PA",2422725,2457000,-34275,-1.4,Pittsburgh
"Sacramento–Roseville–Folsom, CA",2420608,2397382,23226,1,Sacramento
"Las Vegas–Henderson–North Las Vegas, NV",2336573,2265461,71112,3.1,Las Vegas
"Cincinnati, OH-KY-IN",2271479,2249797,21682,1,Cincinnati
"Kansas City, MO-KS",2221343,2192035,29308,1.3,Kansas City
"Columbus, OH ",2180271,2138926,41345,1.9,Columbus
"Cleveland, OH",2158932,2185825,-26893,-1.2,Cleveland
"Indianapolis–Carmel–Greenwood, IN",2138468,2089653,48815,2.3,Indianapolis
"Nashville-Davidson–Murfreesboro–Franklin, TN",2102573,2014444,88129,4.4,Nashville
"San Jose–Sunnyvale–Santa Clara, CA",1945767,2000468,-54701,-2.7,San Jose
"Virginia Beach–Chesapeake–Norfolk, VA-NC",1787169,1780059,7110,0.4,Virginia Beach
"Jacksonville, FL",1713240,1605848,107392,6.7,Jacksonville
"Providence–Warwick, RI-MA",1677803,1676579,1224,0.1,Providence
"Milwaukee–Waukesha, WI",1560424,1574731,-14307,-0.9,Milwaukee
"Raleigh–Cary, NC",1509231,1413982,95249,6.7,Raleigh
"Oklahoma City, OK",1477926,1425695,52231,3.7,Oklahoma City
"Louisville/Jefferson County, KY-IN",1365557,1362180,3377,0.2,Louisville
"Richmond, VA",1349732,1314434,35298,2.7,Richmond
"Memphis, TN-MS-AR",1335674,1345425,-9751,-0.7,Memphis
"Salt Lake City–Murray, UT",1267864,1257936,9928,0.8,Salt Lake City
"Birmingham, AL",1184290,1180631,3659,0.3,Birmingham
"Fresno, CA",1180020,1164909,15111,1.3,Fresno
"Grand Rapids–Wyoming–Kentwood, MI",1162950,1150015,12935,1.1,Grand Rapids
"Buffalo–Cheektowaga, NY",1155604,1166902,-11298,-1,Buffalo